iter	Passed	Remaining
0	2	2299
1	4	2138
2	6	2102
3	8	2100
4	10	2085
5	12	2050
6	14	2050
7	16	2026
8	18	2024
9	20	2023
10	22	2034
11	24	2030
12	26	2018
13	28	2014
14	30	2000
15	31	1967
16	33	1957
17	35	1956
18	37	1947
19	39	1932
20	41	1921
21	43	1920
22	45	1914
23	47	1913
24	49	1911
25	50	1909
26	52	1909
27	54	1900
28	56	1895
29	59	1917
30	61	1915
31	63	1913
32	65	1907
33	67	1906
34	68	1900
35	70	1890
36	72	1888
37	74	1882
38	76	1880
39	78	1872
40	79	1867
41	81	1861
42	83	1862
43	85	1860
44	87	1859
45	89	1858
46	91	1854
47	93	1850
48	95	1845
49	96	1840
50	98	1836
51	100	1835
52	102	1829
53	104	1826
54	106	1822
55	107	1819
56	109	1818
57	111	1815
58	113	1813
59	115	1806
60	117	1805
61	119	1810
62	122	1816
63	123	1812
64	125	1810
65	128	1812
66	129	1809
67	131	1798
68	133	1796
69	134	1792
70	137	1802
71	139	1798
72	141	1796
73	144	1805
74	146	1804
75	148	1801
76	150	1803
77	152	1802
78	154	1799
79	156	1799
80	158	1794
81	159	1789
82	162	1793
83	164	1789
84	165	1779
85	167	1777
86	168	1768
87	170	1763
88	171	1759
89	174	1763
90	176	1762
91	178	1761
92	181	1767
93	182	1762
94	184	1759
95	186	1755
96	188	1752
97	189	1748
98	192	1751
99	194	1748
100	195	1743
101	196	1732
102	198	1728
103	200	1724
104	202	1722
105	203	1719
106	205	1717
107	207	1715
108	209	1713
109	211	1710
110	213	1706
111	215	1707
112	217	1705
113	219	1703
114	221	1701
115	222	1696
116	224	1693
117	227	1697
118	228	1693
119	230	1691
120	232	1692
121	234	1689
122	235	1680
123	237	1677
124	239	1674
125	241	1672
126	243	1670
127	244	1664
128	246	1664
129	248	1662
130	250	1660
131	252	1657
132	254	1658
133	256	1656
134	257	1652
135	259	1649
136	261	1645
137	262	1640
138	264	1637
139	266	1635
140	268	1632
141	269	1630
142	271	1628
143	274	1629
144	276	1629
145	278	1627
146	280	1625
147	281	1623
148	283	1621
149	286	1621
150	288	1620
151	290	1619
152	292	1616
153	293	1614
154	296	1613
155	298	1613
156	300	1611
157	302	1609
158	304	1608
159	306	1606
160	307	1604
161	309	1602
162	311	1601
163	313	1600
164	315	1598
165	317	1596
166	319	1594
167	321	1592
168	323	1590
169	325	1588
170	327	1586
171	329	1585
172	331	1583
173	333	1582
174	335	1580
175	337	1578
176	338	1575
177	340	1573
178	342	1571
179	344	1569
180	345	1563
181	347	1562
182	349	1561
183	351	1560
184	354	1560
185	356	1560
186	358	1558
187	360	1555
188	362	1554
189	364	1553
190	366	1552
191	368	1552
192	370	1550
193	372	1548
194	374	1546
195	376	1544
196	378	1543
197	380	1541
198	382	1540
199	384	1538
200	386	1537
201	388	1535
202	390	1533
203	392	1532
204	394	1530
205	396	1528
206	398	1526
207	400	1523
208	402	1523
209	404	1521
210	406	1519
211	408	1517
212	410	1515
213	412	1516
214	415	1517
215	418	1517
216	420	1515
217	421	1513
218	423	1511
219	425	1509
220	427	1506
221	429	1504
222	431	1502
223	433	1500
224	434	1497
225	437	1496
226	440	1499
227	442	1496
228	444	1496
229	446	1494
230	448	1492
231	450	1492
232	453	1493
233	455	1492
234	457	1489
235	459	1488
236	461	1485
237	463	1483
238	465	1481
239	467	1478
240	468	1476
241	470	1473
242	472	1471
243	474	1470
244	476	1467
245	478	1465
246	480	1463
247	482	1461
248	484	1460
249	485	1457
250	487	1455
251	490	1456
252	504	1489
253	506	1487
254	508	1484
255	509	1481
256	511	1478
257	513	1476
258	515	1474
259	517	1471
260	518	1469
261	520	1466
262	522	1464
263	524	1461
264	525	1458
265	528	1456
266	529	1454
267	531	1452
268	533	1449
269	535	1447
270	536	1444
271	538	1441
272	540	1439
273	542	1437
274	544	1435
275	546	1433
276	549	1433
277	550	1430
278	553	1429
279	555	1427
280	557	1426
281	559	1425
282	561	1423
283	563	1420
284	565	1419
285	567	1417
286	569	1414
287	571	1413
288	573	1411
289	575	1408
290	577	1408
291	580	1406
292	581	1403
293	583	1401
294	585	1399
295	587	1397
296	589	1395
297	591	1392
298	593	1390
299	594	1387
300	596	1385
301	598	1383
302	601	1383
303	603	1381
304	605	1379
305	607	1377
306	609	1375
307	611	1373
308	613	1372
309	615	1370
310	617	1368
311	619	1366
312	621	1364
313	623	1361
314	625	1359
315	626	1357
316	628	1354
317	630	1352
318	632	1350
319	634	1347
320	635	1344
321	637	1342
322	639	1339
323	641	1337
324	643	1336
325	646	1336
326	648	1334
327	650	1332
328	651	1329
329	653	1327
330	655	1324
331	657	1322
332	659	1320
333	660	1317
334	662	1315
335	664	1313
336	666	1310
337	668	1308
338	669	1306
339	671	1303
340	673	1301
341	675	1299
342	677	1296
343	678	1294
344	680	1291
345	682	1289
346	684	1287
347	686	1286
348	688	1284
349	690	1281
350	691	1279
351	693	1277
352	695	1275
353	698	1273
354	699	1271
355	701	1268
356	703	1266
357	704	1264
358	706	1262
359	708	1259
360	710	1257
361	712	1254
362	713	1252
363	715	1250
364	717	1248
365	719	1246
366	721	1244
367	723	1242
368	725	1240
369	727	1238
370	729	1236
371	731	1234
372	733	1232
373	734	1230
374	736	1227
375	738	1225
376	740	1223
377	741	1220
378	743	1218
379	745	1215
380	746	1213
381	748	1210
382	750	1208
383	752	1206
384	753	1204
385	755	1201
386	757	1199
387	759	1197
388	761	1195
389	763	1193
390	764	1191
391	766	1189
392	768	1187
393	770	1184
394	772	1182
395	774	1181
396	776	1179
397	778	1177
398	780	1174
399	781	1172
400	783	1170
401	785	1168
402	787	1166
403	789	1164
404	790	1161
405	792	1159
406	794	1157
407	796	1155
408	798	1153
409	799	1150
410	802	1149
411	803	1147
412	805	1145
413	807	1143
414	809	1141
415	811	1138
416	813	1136
417	815	1135
418	817	1133
419	819	1131
420	821	1129
421	822	1127
422	824	1124
423	826	1122
424	828	1120
425	830	1118
426	831	1116
427	833	1114
428	835	1111
429	837	1109
430	838	1107
431	840	1105
432	842	1102
433	844	1100
434	845	1098
435	847	1096
436	849	1094
437	851	1092
438	853	1090
439	855	1088
440	857	1086
441	859	1084
442	860	1082
443	862	1080
444	864	1078
445	866	1076
446	868	1074
447	870	1072
448	872	1070
449	874	1068
450	876	1066
451	877	1064
452	880	1063
453	882	1061
454	883	1058
455	886	1057
456	888	1056
457	890	1054
458	892	1051
459	894	1049
460	895	1047
461	898	1045
462	900	1044
463	902	1042
464	905	1041
465	907	1039
466	908	1037
467	910	1035
468	912	1033
469	914	1030
470	915	1028
471	917	1026
472	919	1024
473	921	1022
474	923	1020
475	925	1018
476	927	1016
477	928	1014
478	930	1012
479	933	1011
480	934	1008
481	936	1006
482	938	1004
483	940	1002
484	941	999
485	944	998
486	945	996
487	947	993
488	949	991
489	950	989
490	952	987
491	954	985
492	956	983
493	958	981
494	960	979
495	961	977
496	963	975
497	965	972
498	967	970
499	969	969
500	971	967
501	973	965
502	975	963
503	976	961
504	978	959
505	980	956
506	981	954
507	983	952
508	985	950
509	987	948
510	989	946
511	990	944
512	992	942
513	994	940
514	996	938
515	998	936
516	1000	934
517	1001	932
518	1003	930
519	1006	928
520	1007	926
521	1009	924
522	1011	922
523	1013	920
524	1014	918
525	1016	915
526	1018	913
527	1020	911
528	1021	909
529	1023	907
530	1025	905
531	1026	903
532	1028	901
533	1030	899
534	1032	897
535	1034	895
536	1037	894
537	1039	892
538	1041	890
539	1044	889
540	1046	887
541	1048	885
542	1050	884
543	1053	882
544	1054	880
545	1056	878
546	1058	876
547	1060	874
548	1062	872
549	1063	870
550	1065	868
551	1067	866
552	1069	864
553	1070	862
554	1072	860
555	1075	858
556	1077	856
557	1078	854
558	1080	852
559	1082	850
560	1083	848
561	1085	846
562	1088	844
563	1091	843
564	1093	841
565	1095	840
566	1097	838
567	1099	836
568	1101	834
569	1104	832
570	1106	831
571	1108	829
572	1111	828
573	1113	826
574	1115	824
575	1117	822
576	1119	820
577	1122	819
578	1125	818
579	1127	816
580	1129	814
581	1131	812
582	1133	811
583	1135	809
584	1138	807
585	1140	805
586	1141	803
587	1143	801
588	1146	799
589	1148	797
590	1151	796
591	1153	795
592	1155	793
593	1157	791
594	1159	789
595	1161	787
596	1163	785
597	1165	783
598	1168	782
599	1170	780
600	1173	778
601	1175	777
602	1177	775
603	1179	773
604	1181	771
605	1183	769
606	1186	767
607	1188	766
608	1190	764
609	1192	762
610	1194	760
611	1196	758
612	1198	756
613	1200	754
614	1202	752
615	1205	751
616	1207	749
617	1210	747
618	1212	746
619	1214	744
620	1216	742
621	1218	740
622	1220	738
623	1223	737
624	1225	735
625	1227	733
626	1229	731
627	1231	729
628	1232	727
629	1234	725
630	1236	722
631	1238	721
632	1240	719
633	1242	716
634	1244	715
635	1246	713
636	1247	711
637	1250	709
638	1252	707
639	1255	705
640	1257	704
641	1259	702
642	1261	700
643	1262	697
644	1265	696
645	1268	694
646	1270	693
647	1272	691
648	1274	689
649	1276	687
650	1278	685
651	1281	683
652	1283	682
653	1285	680
654	1287	678
655	1289	676
656	1292	674
657	1295	673
658	1297	671
659	1299	669
660	1301	667
661	1303	665
662	1305	663
663	1307	661
664	1309	659
665	1311	657
666	1313	655
667	1315	653
668	1316	651
669	1318	649
670	1320	647
671	1322	645
672	1324	643
673	1326	641
674	1328	639
675	1331	638
676	1333	636
677	1336	634
678	1338	632
679	1340	630
680	1342	628
681	1344	626
682	1345	624
683	1347	622
684	1349	620
685	1351	618
686	1353	616
687	1354	614
688	1356	612
689	1358	610
690	1360	608
691	1362	606
692	1366	605
693	1368	603
694	1370	601
695	1372	599
696	1374	597
697	1375	595
698	1377	593
699	1379	591
700	1381	589
701	1383	587
702	1385	585
703	1387	583
704	1389	581
705	1390	579
706	1392	577
707	1394	575
708	1397	573
709	1399	571
710	1401	569
711	1403	567
712	1406	566
713	1408	564
714	1410	562
715	1412	560
716	1414	558
717	1416	556
718	1418	554
719	1420	552
720	1423	550
721	1425	548
722	1426	546
723	1429	545
724	1432	543
725	1434	541
726	1436	539
727	1438	537
728	1440	535
729	1442	533
730	1444	531
731	1450	531
732	1452	529
733	1454	527
734	1456	525
735	1459	523
736	1460	521
737	1462	519
738	1464	517
739	1466	515
740	1468	513
741	1469	511
742	1471	509
743	1474	507
744	1476	505
745	1478	503
746	1480	501
747	1482	499
748	1484	497
749	1486	495
750	1488	493
751	1489	491
752	1491	489
753	1493	487
754	1495	485
755	1496	483
756	1498	481
757	1500	479
758	1502	477
759	1504	475
760	1506	472
761	1508	471
762	1510	469
763	1512	467
764	1514	465
765	1516	463
766	1517	461
767	1519	459
768	1521	457
769	1523	455
770	1525	453
771	1527	451
772	1528	449
773	1530	446
774	1532	444
775	1534	442
776	1536	440
777	1537	438
778	1539	436
779	1541	434
780	1543	432
781	1544	430
782	1546	428
783	1549	426
784	1551	424
785	1553	422
786	1555	420
787	1557	418
788	1559	416
789	1561	415
790	1562	412
791	1564	410
792	1566	408
793	1568	406
794	1570	404
795	1572	402
796	1574	401
797	1576	399
798	1577	396
799	1579	394
800	1582	393
801	1584	391
802	1586	389
803	1588	387
804	1590	385
805	1592	383
806	1594	381
807	1596	379
808	1598	377
809	1600	375
810	1602	373
811	1604	371
812	1606	369
813	1608	367
814	1610	365
815	1612	363
816	1614	361
817	1615	359
818	1617	357
819	1619	355
820	1621	353
821	1623	351
822	1625	349
823	1627	347
824	1630	345
825	1632	343
826	1634	342
827	1636	340
828	1638	338
829	1641	336
830	1643	334
831	1645	332
832	1647	330
833	1648	328
834	1650	326
835	1652	324
836	1654	322
837	1656	320
838	1658	318
839	1660	316
840	1662	314
841	1664	312
842	1665	310
843	1667	308
844	1669	306
845	1671	304
846	1673	302
847	1675	300
848	1677	298
849	1679	296
850	1681	294
851	1683	292
852	1685	290
853	1687	288
854	1689	286
855	1691	284
856	1693	282
857	1694	280
858	1697	278
859	1699	276
860	1701	274
861	1703	272
862	1705	270
863	1707	268
864	1709	266
865	1711	264
866	1713	262
867	1715	260
868	1717	258
869	1719	256
870	1721	255
871	1723	253
872	1725	251
873	1727	249
874	1730	247
875	1732	245
876	1734	243
877	1736	241
878	1738	239
879	1740	237
880	1742	235
881	1744	233
882	1746	231
883	1748	229
884	1750	227
885	1752	225
886	1754	223
887	1756	221
888	1758	219
889	1760	217
890	1762	215
891	1763	213
892	1765	211
893	1767	209
894	1769	207
895	1771	205
896	1773	203
897	1775	201
898	1777	199
899	1779	197
900	1781	195
901	1783	193
902	1784	191
903	1786	189
904	1788	187
905	1790	185
906	1792	183
907	1794	181
908	1796	179
909	1797	177
910	1799	175
911	1801	173
912	1803	171
913	1805	169
914	1807	167
915	1808	165
916	1810	163
917	1812	161
918	1815	160
919	1817	158
920	1818	156
921	1820	154
922	1822	152
923	1824	150
924	1825	148
925	1828	146
926	1830	144
927	1832	142
928	1834	140
929	1836	138
930	1838	136
931	1841	134
932	1843	132
933	1845	130
934	1846	128
935	1848	126
936	1850	124
937	1852	122
938	1854	120
939	1855	118
940	1857	116
941	1859	114
942	1861	112
943	1863	110
944	1865	108
945	1867	106
946	1869	104
947	1871	102
948	1873	100
949	1875	98
950	1876	96
951	1878	94
952	1880	92
953	1882	90
954	1884	88
955	1886	86
956	1888	84
957	1890	82
958	1891	80
959	1893	78
960	1895	76
961	1897	74
962	1899	72
963	1901	71
964	1903	69
965	1905	67
966	1908	65
967	1911	63
968	1912	61
969	1914	59
970	1916	57
971	1918	55
972	1920	53
973	1922	51
974	1924	49
975	1925	47
976	1928	45
977	1930	43
978	1932	41
979	1934	39
980	1936	37
981	1938	35
982	1939	33
983	1941	31
984	1943	29
985	1945	27
986	1947	25
987	1949	23
988	1951	21
989	1953	19
990	1955	17
991	1958	15
992	1960	13
993	1962	11
994	1964	9
995	1966	7
996	1967	5
997	1969	3
998	1972	1
999	1974	0
